"id"|"title"|"category"|"tags"|"blog_image"|"body"|"post_date"
"11"|"Karleuša izvrijeđala mladu Bosanku, ali kada joj je vidjela guzu, izgubila je kontrolu: Nikada nisam vidjela bolju stražnjicu!"|"SHOWBIZZ"|"jelena karleuša, vesna trubić, zvezde granda"|"/sites/default/files/wp-content/uploads/2017/05/VESNA-TRUBIC.jpg"|"<div class=""article-image""><strong> Vesna, 22-ogodišnja djevojka iz Banjaluke, čvrstom i velikom guzom šokirala je sve u studiju, a naročito Jelenu Karleušu. Pozitivno, naravno...</strong></div>^^<p>U duelu sa Jovanom Vasić, najljepšom takmičarkom koja se pojavila u “Zvezdama Granda”, takmičila se Vesna Trubić iz Banjaluke</p>^^<div class=""content"">^^<p>Vesna je nastupila u roze kombinezonu, pripijenom uz tijelo, koji je savršeno pokazivao njenu liniju.</p>^^<p>Prije komplimenata <strong>Jelena je “nagazila” Vesnu,</strong> tačnije njeno pjevanje i ponašanje na sceni.</p>^^<p>–<em> Mlaka si, lutko, mlaka si. Ti se već u trećem krugu takmičenja, već si morala da povedeš računa i o tome. Meni si ti djelovala kao neko ko bi mogao da pjeva dok ručam u nekom lijepom restoranu. Znači, da ne smetaš, da si vrlo utišana, da je to milozvučno…što je apsolutno ne, ne i ne u ovom poslu! Znači, poslušaj me, ako prođeš dalje, i moraš da grizeš</em> – počela je <strong>Jelena</strong>, a Vesna ju je nijemo posmatrala.</p>^^<p>Međutim, onda su<strong> krenuli komplimenti sa Karleušine strane!</strong></p>^^<p>– <em>Stajling ti je, pa ajde da kažem okej, ali na tvom mjestu ja bih sve vrijeme držala leđa okrenuta kameri pošto ti imaš tako savršenu pozadinu! Ja nikada u životu nisam vidjela da neko ima savršeniju guzu od tebe, djevojko! Mislim, nemoj pogrešno da me razumiješ…savršena leđa, guza… prelijepo. Igraj i na to, malo daj seksepila… Ne vulgarno, ali malo daj i to jer super izgledaš!</em></p>^^</div>^^<p> </p>^^<p><iframe src=""//www.dailymotion.com/embed/video/x5kbnnt"" width=""480"" height=""270"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>^^<p><em>(Izvor: Avaz.ba)</em></p>"|"Monday, May 1, 2017 - 13:09"
"12"|"Uhapšen osumnjičeni za silovanje maloljetne djevojčice u Tuzli"|"BiH"|"djevojčica, silovanje, tuzla"|"/sites/default/files/wp-content/uploads/2017/05/Hapsenje-lisice-policija.jpg"|"<p style=""text-align: justify;""><strong>Nakon jučerašnje prijave silovanja maloljetne osobe u tuzlanskom naselju Dragodol osumnjičena osoba lišena je slobode.</strong></p>^^<p style=""text-align: justify;"">Ova informacija potvrđena je u Ministarstvu unutrašnjih poslova Tuzlanskog kantona (MUP TK)</p>^^<p style=""text-align: justify;"">Podsjetimo, Policijskoj upravi Tuzla <strong>jučer u 14:15 sati prijavljeno je silovanje maloljetne djevojčice u naselju Dragodol u Tuzli.</strong></p>^^<p style=""text-align: justify;"">Nakon spomenute prijave policijski službenici Sektora kriminalističke policije odmah su izašli na mjesto prijavljenog događaja, nakon čega je, kako je rečeno u MUP-u TK, <strong>osumnjičeni muškarac lišen slobode.</strong></p>^^<p style=""text-align: justify;"">Nezvanične informacije kazuju da je otac silovao maloljetnu kćerku, a zbog osjetljivosti slučaja ovu informaciju u MUP-u TK nisu mogli komentarisati.</p>^^<p style=""text-align: justify;"">Uviđaj su na mjestu prijavljenog događaja obavili policijski službenici Sektora kriminalističke policije MUP-a TK i dežurni kantonalni tužilac.</p>^^<p style=""text-align: justify;""><strong>Djevojčica je istog dana podvrgnuta ljekarskom pregledu</strong> u Univerzitetsko-kliničkom centru u Tuzli.</p>^^<p style=""text-align: justify;""> </p>^^<p style=""text-align: justify;""><em>(Izvor: Vijesti.ba)</em></p>"|"Monday, May 1, 2017 - 13:19"
"13"|"Teška saobraćajna nesreća: Jedan mladić poginuo, drugi povrijeđen"|"REGION"|"hrvatska, pogibija, saobraćajna nesreća, slajder"|"/sites/default/files/wp-content/uploads/2017/05/hrvatska.jpg"|"<p style=""text-align: justify;""><strong>U teškoj saobraćajnoj nesreći koja se dogodila u ponedjeljak pola sata iza ponoći kod Đulovca u Hrvatskoj jedna je osoba poginula, a druga je prevezena u virovitičku bolnicu.</strong></p>^^<div class=""td-a-rec td-a-rec-id-content_inlineleft "" style=""text-align: justify;"">Vozač (21) je izgubio nadzor nad upravljačem ličnog automobila i sletio s ceste i na mjestu preminuo. Suvozač (23) je prevezen u virovitičku Opću bolnicu gdje je zadržan. Obojica mladića su iz Velikih Bastaja, s Đulovačkog područja.</div>^^<p style=""text-align: justify;"">Kako uviđaj kojim rukovodi zamjenica Općinske državne tužiteljice iz Bjelovara još traje nisu poznati detalji ove tragedije.</p>^^<p style=""text-align: justify;""><em>(Izvor: Fokus.ba)</em></p>"|"Monday, May 1, 2017 - 13:24"
"14"|"Uništena džamija u glavnom evropskom gradu: Izgorjelo 3.000 knjiga"|"SVIJET"|"džamija, požar, stockholm"|"/sites/default/files/wp-content/uploads/2017/05/dzamija.jpg"|"<p style=""text-align: justify;""><strong>Kasno sinoć u glavnom gradu Švedske Stockholmu izbio je požar u džamiji Imama Alija.</strong></p>^^<p style=""text-align: justify;"">Direktor Vatrogasne službe u Stockholmu Tobias Akesson za državnu televiziju SVT izjavio je kako je <strong>požar izbio sinoć iza ponoći u džamiji</strong> koja se nalazi u kvartu Jarfalla.</p>^^<p style=""text-align: justify;"">Predstavnik lokalne islamske zajednice Akil Zahiri je kazao kako je<strong> požar uzrokovao veliku materijalnu štetu i kako je objekat u neupotrebljivom stanju.</strong></p>^^<p style=""text-align: justify;"">Istraga o uzroku požara je u toku, a Zahiri je kazao kako je u požaru izgorjela i biblioteka s više od 3.000 knjiga.</p>^^<p style=""text-align: justify;""> </p>^^<p style=""text-align: justify;""><em>(Izvor: Anadolija)</em></p>"|"Monday, May 1, 2017 - 13:31"
"15"|"Na Ahiret preselila Abdić (Zogaj) Mirsada"|"OBAVIJESTI O SMRTI"|"dženaza, obavijest o smrti, smrtovnica"|"/sites/default/files/wp-content/uploads/2017/05/smrtovnica.jpg"|"<p style=""text-align: justify;"">Sa žalošću javljamo rodbini prijateljima i poznanicima da je naša draga  Abdić (Zogaj) Mirsada dana 01.05.2017. godine preselila na Ahiret u 62 -oj godini života.</p>^^<p style=""text-align: justify;"">Dženaza polazi u utorak, 02.05.2017.godine, u 14:00 sati ispred kuće žalosti u Liskovcu, a klanjat će se na mezarju Ravnice po dolasku. </p>^^<p style=""text-align: justify;"">Da joj dragi Allah podari Džennet, a porodici sabur.</p>^^<p style=""text-align: justify;""><em>NAPOMENA:</em></p>^^<p style=""text-align: justify;""><em>Našim posjetiteljima nudimo besplatne oglase za obavijesti o smrti. Pošaljite nam smrtovnicu osobe za koju želite dati oglas na mail <a href=""mailto:info@cazin.net"">info@cazin.net</a> ili porukom u inbox Facebook stranice cazin.net, koju ćemo blagovremeno objaviti putem portala Cazin.NET.</em></p>^^<p style=""text-align: justify;"">(Cazin.NET)</p>"|"Monday, May 1, 2017 - 13:47"
"16"|"Koje su škole završili Messi, Ronaldo, Ibrahimović, Pogba…"|"NOGOMET"|"cristiano ronaldo, lionel mesi, zlatan ibrahimović"|"/sites/default/files/wp-content/uploads/2017/05/MESI-FUDBALERI.png"|"<p class=""story-lead""><strong>Sa velikim novcima – dolazi velika odgovornost, a ta odgovornost je opravdati velike novce koji su uloženi u vas na terenu. U realnom svijetu, ‘koliko imaš od škole’ uvjetuje koliko novca zarađuješ mjesečno – osim ako niste sretnik ili nesretnik da vam diploma ne predstavlja nikakav uslov.</strong></p>^^<p class=""story-lead"">Mi smo odlučili istražiti koliko zapravo su svjetski top fudbaleri uložili u svoje školovanje tokom karijere, odnosno ‘šta oni od škole imaju’, kako se to kod nas obično kaže.</p>^^<p>Ako uzmemo da su Messi, Ronaldo, Pogba i Ibrahimović i Bale trenutno najplaćeniji fudbaleri svijeta, odlučili smo za njih, i još nekolicinu provjeriti dokle su sa obrazovanjem, jer fudbalsko znanje nije upitno.</p>^^<p>Messi – po svemu što smo uspjeli vidjeti i pročitati jeste da je školu završio tek nakon što ga je Barcelona uzela pod svoje.</p>^^<p>Ako otvorite Wikipediju pod Leonel Andres Messi – informaciju o školovanju nećete pronaći. Međutim portal Answers.com nudi slijedeće:</p>^^<p><strong>“Messi jeste išao u osnovnu školu, ali ga je Barceona vrbovala, i odlučila platiti njegovo liječenje – samo ako bude igrao za njihovu omladinsku školu. Preselio se potom uz Španiju”,</strong> i tu se njegovoj dioplomi gubi svaki trag.</p>^^<p>Pretpostavka je da ga je Barca poslala u neku od specijalnih škola, jer je gradivo mnogo propuštao – što zbog talenta, toliko i zbog poremećaja hormona rasta.</p>^^<p>Cristiano Ronaldo je za lokalni klub Nacional počeo da igra sa 12 godina, a onda je prešao u Sporting na trodnevnu posudbu. Oni su ga otkupili za nešto manje od 2.000 eura. Sa 14 godina je već imao sposobnost da igra poluprofesionalno, a sa majkom se dogovorio da stopira obrazovanje – kako bi se posvetio fudbalu.</p>^^<p>Onda je napravio incident u školi, učiteljicu je gađao stolicom ‘jer mu nije ukazala poštovanje’. Godinu dana poslije toga – dijagnosticirano mu je ‘trkaće srce’, stanje zbog kojeg je mogao prekinuti i fudbalsku karijeru.</p>^^<p>Otišao je na operaciju, i nastavio karijeru. Ostalo je historija. Na zidu ima sve medalje i pehare, samo školske diplome nema.</p>^^<p>Školske informacije o Paulu Pogbi je također teško pronaći. Znamo da se rodio u Lagny-sur-Marne u Francuskoj, te da je fudbal počeo igrati 1999. godine u Roissy-en-Brie, prije nego ga je Torcy prijavio sebi, a potom i Le Havre.</p>^^<p><strong>“Škola nije bila za njega. Ovdje sam bila 33 godine, i on je među top pet najneposlušnijih učenika koje sam ikada vidjela. On će uvijek biti zločesti dečko, one-man-show i prototip djeteta koje će uvijek praviti ozbiljne probleme”</strong> – kazala je direktorica škole koju je u mladosti pohađao Zlatan Ibrahimović.</p>^^<p><strong>“Bio sam lud”</strong>, priznao je napadač. <strong>“Nerviralo me što moram da sjedim mirno sa mravima u gaćama”</strong>, stoji u njegovoj biografiji <strong>“Ja sam Zlatan”.</strong></p>^^<p>Ono što također znamo da je u školu i na treninge išao biciklom, koje bi prethodno ukrao – a njegova matična škola je Malmo Borgarskola.</p>^^<p>Gareth Bale je završio Witchurch školu u Cardiffu, a pored fudbala – trenirao je i ragbi i hokej. Volio je i sprint na 100 metara, ali fudbalsku stipendiju dobio je od Southamptona. Srednju školu završo je sa uspjehom ‘odličan – 5’, sa najboljim prosjekom u generaciji.</p>^^<p>I Waynea Rooneyja prati slična priča. On je išao u RC osnovnu i De La Salle Akademiju u Liverpoolu, što je srednja škola.</p>^^<p>Informacija o školovanju Andresa Inieste nema, Tottijeve škole također  nema, a onda prosto u momentima nedostatka informacija – okrenete se Googleu, pa pronađete da je najobrazovaniji među aktivnim fudbalerima zapravo <strong>Simon Mignolet</strong>, golman Liverpoola koji ima univerzitetsku diplomu pravnog fakulteta<strong><em>.</em></strong></p>^^<p> </p>^^<p><em>(Izvor: N1)</em></p>"|"Monday, May 1, 2017 - 13:53"
"17"|"Bosanci i Hercegovci u Njemačkoj na raspolaganju svojim zemljacima"|"SVIJET"|"bh dijaspora, bosanci i hercegovci, njemačka, udruženje"|"/sites/default/files/wp-content/uploads/2017/05/pange.png"|"<div class=""articleIntro"" style=""text-align: justify;""><strong>Mladi i perspektivni studenti porijeklom iz Bosne i Hercegovine s mjestom boravka u Njemačkoj u želji da ostanu povezani sa svojom državom i Bosancima i Hercegovcima u Njemačkoj osnovali su udruženje i pokrenuli portal.</strong></div>^^<div class=""articleIntro"" style=""text-align: justify;""> </div>^^<div class=""articleTxt"" style=""text-align: justify;"">^^<p>Udruženje ""Mreža bh. studenata i akademika u Njemačkoj"" osnovana je prije tri godine radi povezivanja studenata i akademika bh. porijekla koji trenutno studiraju ili imaju već završen studij u Njemačkoj, a medijsko predstavljanje im je novi projekt kojim poručuju da svoju državu nisu i neće zaboraviti.</p>^^<p>- <em>Udruženje se, između ostalog, fokusira i na povezivanje poslovnih osoba, vlasnika poduzeća sa sjedištem u Saveznoj Republici Njemačkoj, i zainteresiranih poduzetnika s područja BiH radi širenja poslovnih ideja na njemačkom tržištu rada</em> - kazali su Feni iz tog udruženja.</p>^^<p>Naglašavaju da vjerskom, nacionalnom ili političkom opredjeljenju članova ne pridaju pažnju jer im je fokus prvenstveno na zajedničkoj budućnosti.</p>^^<p>Važno je, smatraju, podstaći članove <strong>udruženja na kvalitetnu i dugotrajnu saradnju te efikasno reagiranje u različitim sferama života:</strong> društvenoj, ekonomskoj, kulturnoj i političkoj.</p>^^<p>Da bi bili vidljiviji i dostupniji pokrenuli su magazin - portal ''Pangea'' (<a href=""http://pangea.nbsad.de/"">http://pangea.nbsad.de/</a>) putem kojeg objavljuju sadržaje bitne za bh. dijasporu, ali i ljude iz države porijekla.</p>^^<p>Iako je prvenstveno namijenjen <strong>bh. dijaspori u Njemačkoj,</strong> ističu da, sadržajem nisu ograničeni samo na tu čitalačku publiku te da korisne informacije mogu pročitati svi njihovi zemljaci.</p>^^<p>U fokusu im je predstavljanje uspješnih studenata i profesionalaca, koji u raznim profesijama <strong>bilježe zapažene rezultate.</strong></p>^^<p>-  <em>Sve ovo radimo da naši ljudi ostanu skupa. Da znamo jedni za druge i da se pomažemo - poručuju iz Udruženja.</em></p>^^<p>Tuzlanki Maidi Huseinović Mreža bh. studenata i akademika u Njemačkoj pomogla je da bude primljena na Goethe univerzitet u Frankfurtu.</p>^^<p>Složena procedura bila je prepreka da se upiše prve godine kada je aplicirala, a iz Mreže ističu da je upravo to cilj njihovog postojanja. Pozivaju i druge da im se obrate, ukoliko smatraju da <strong>Mreža može biti poveznica na putu njihovog usavršavanja i postizanja ciljeva.</strong></p>^^<p>Primjera ima više, navode i najavljuju da će se truditi da ih bude i u budućnosti.</p>^^</div>^^<p style=""text-align: justify;""> </p>^^<p style=""text-align: justify;""><em>(Izvor: Fena)</em></p>"|"Monday, May 1, 2017 - 14:03"
"18"|"Bihać: Ima li novca za najveće stratište nakon Jasenovca"|"USK"|"bihać, jasenovac, spomenik"|"/sites/default/files/wp-content/uploads/2017/05/bihac.jpg"|"<p style=""text-align: justify;""><strong>Spomenik kod Bihaća čini petnaest skulptura poredanih u prostoru sa pristupnim stazama, platoom, krajolikom i grobnicom…</strong></p>^^<p style=""text-align: justify;"">Jedno od okupljališta mladih u Bihaću za mnoge je nepoznanica i misterija koja ih samo podsjeća na Stonehenge u Velikoj Britaniji. Osim mladih koji se ovdje okupljaju i ponekog rekreacioniste, jedini posjetioci bihaćkog Stonehengea su turisti koji čuvaju sjećanje na žrtve u čije ime je podignut ovaj spomenik, koji svjedoči o fašizmu i masovnom pokolju stanovništva koji se desilo tokom Drugog svjetskog rata. a koji su počinile ustaše.</p>^^<p style=""text-align: justify;"">Znaju li o tome išta mlade generacije?</p>^^<h2 style=""text-align: justify;"">Nacionalni spomenik BiH</h2>^^<p style=""text-align: justify;"">Ovaj kompleks u spomen na žrtve fašističkog terora, idejno je djelo Bogdana Bogdanovića jednog od najpoznatijih i najuspješnijih graditelja memorijalne arhitekture u regionu jugoistočne Evrope. Komisija za očuvanje nacionalnih spomenika na sjednici održanoj 2011. godine, donijela je Odluku da se Spomen-park žrtvama fašističkog terora proglašava nacionalnim spomenikom Bosne i Hercegovine.</p>^^<p style=""text-align: justify;"">“Spomenik čini petnaest skulptura poredanih u prostoru sa pristupnim stazama, platoom, krajolikom i grobnicom. Na ovaj spomenik se primjenjuju mjere zaštite utvrđene zakonom o sprovođenju odluka Komisije za zaštitu nacionalnih spomenika koja je uspostavljena prema Aneksu 8. opšteg mirovnog sporazuma u Bosni i Hercegovini”, kaže Amir Kadić, direktor Zavoda za zaštitu kulturnog nasljeđa USK-a.</p>^^<p style=""text-align: justify;"">Kulturni pejzaž Spomen-park žrtava fašističkog terora nalazi se na brdu Garavice uz cestu koja iz Bihaća vodi do graničnog prijelaza Izačić i Republike Hrvatske. Ovaj spomen-kompleks na Garavicama otvoren je 1981. godine, a podršku izgradnji spomen-kompleksa dao je visoki funkcioner KPJ Hakija Pozderac.</p>^^<h2 style=""text-align: justify;"">Fašisti ubili desetine ljudi</h2>^^<p style=""text-align: justify;"">Prema podacima kojima raspolaže Komisija za očuvanje nacionalnih spomenika Bosne i Hercegovine, na tom mjestu i njegovoj okolici tokom 1941. godine, ustaške snage počinile su zločine nad građanima bihaćkog kraja. Kako se navodi u obrazloženju Komisije – prema nekim podacima ubijeno je 7.000 civila, dok prema drugim izvorima broj žrtava dostiže i 12.000 ljudi.</p>^^<p style=""text-align: justify;""><em>“Tu nisu ubijani samo ljudi iz Bihaća, ima tu ljudi sa područja Like i Korduna. Među žrtvama je i Salih Mušanović, koji je bio prvi sekretar komiteta Komunističke partije. To je najveće stratiše poslije Jasenovca, nema većeg stratišta u okrugu. U znak sjećanja na žrtve izgrađen je spomen-park, koji je nažalost u određenoj mjeri zapušten i ja sam na to reagirao uputivši poslaničko pitanje u Domu naroda Parlamenta Federacije BiH. Bihać ima tekovine antifašizma i ovo je vrlo značajno za nas sa strane proevropske orijentacije”,</em> kaže Mirković</p>^^<h2 style=""text-align: justify;"">Novac glavni problem</h2>^^<p style=""text-align: justify;"">Direktor Kadić ističe da je Zavod u saradnji sa Javnom ustanovom za sport, odmor i rekreaciju uradio projekat kojeg je Komisija za očuvanje nacionalnih spomenika odobrila, ali da bi ga realizirali potrebna su im materijalna sredstva.</p>^^<p style=""text-align: justify;""><em>“Mi smo neki dan imali posjetu Državne komisije i Republičkog zavoda Republike Srpske, koji su nam došli s primjedbama kako se spomen-park ne održava. Odveli smo ih gore da se uvjere u stanje koje je ekstra. Međutim, da bismo mi to uredili i unaprijedili kvalitetu pejzaža tog lokaliteta sa atraktivnim i autohtonim vrstama biljaka, te omogućili neku vrstu rekreativne ponude, potrebna su nam finansijska sredstva. Ukupna vrijednost projekta iznosi 31.700 km, a mi taj novac nemamo. Čim se iznađe novac, mi ćemo pristupiti realizaciji projekta”,</em> ističe Kadić.</p>^^<p style=""text-align: justify;""> </p>^^<p style=""text-align: justify;""><em>(Izvor: Al Jazeera)</em></p>"|"Monday, May 1, 2017 - 14:13"
"19"|"ŠOK U AMERICI: Trump otkriva tajnu o ubistvu John F. Kennedyja"|"SVIJET"|"amerika, donald trump, sad"|"/sites/default/files/wp-content/uploads/2017/05/trump.jpg"|"<p style=""text-align: justify;""><strong>Hoće li američki predsjednik Donald Trump omogućiti svjetskoj javnosti da ima uvid u nekoliko hiljada tajnih vladinih dosijea koji se odnose na ubistvo nekadašnjeg američkog predsjednika John F. Kennedyja (JFK) 1963. godine - pitanje je na koje se neće još dugo čekati odgovor.</strong></p>^^<p class=""sec"" style=""text-align: justify;"">Tako barem tvrdi portal “Politico”, koji je najavio da bismo odgovor mogli dobiti za nekoliko meseci, a možda i nekoliko sedmica.</p>^^<p style=""text-align: justify;"">Isti portal tvrdi da prema roku koji je uspostavljen zakonom, <strong>Trump ima još nekoliko mjeseci da razmisli da li će blokirati 3.600 dosijea vezanih za ubistvo Kennedyja -</strong> događaja koji je kao nijedan drugi u modernoj američkoj historiji pokrenuo lavinu teroja zavjere.</p>^^<p style=""text-align: justify;"">Prema zakonu iz 1992. godine, dokumenti o Kennedyevoj smrti moraju u potpunosti postati javni 26. oktobra, <strong>tačno na 25-godišnjicu donošenja tog zakona.</strong></p>^^<p style=""text-align: justify;"">Trump, međutim, može da odluči i da ne bude tako, a ""Politico"" navodi da o ovom pitanju odluku donosi isključivo i samo predsjednik SAD.</p>^^<p style=""text-align: justify;"">Do saznanja nećemo još dugo čekati…</p>^^<p style=""text-align: justify;""> </p>^^<p style=""text-align: justify;""><em>(Izvor: Avaz.ba)</em></p>"|"Monday, May 1, 2017 - 14:22"
"20"|"BiH: Stižu nam pljuskovi i grmljavina, evo i kada!"|"BiH"|"bih, federalno hidrometerološki zavod bih, vremenska prognoza"|"/sites/default/files/wp-content/uploads/2017/05/vreme.jpg"|"<p style=""text-align: justify;""><strong>U Bosni i Hercegovini danas se očekuje malo do umjereno oblačno i sunčano vrijeme. Tokom dana, razvojem oblačnosti, ponegdje u istočnim i sjeveroistočnim područjima moguć je i kratkotrajni pljusak.</strong></p>^^<div class=""td-a-rec td-a-rec-id-content_inlineleft "" style=""text-align: justify;"">Vjetar slab do umjeren, u sjevernim područjima istočnog smjera, a u ostalim dijelovima jugo. Najviša dnevna temperatura zraka između 17 i 23 , na jugu do 25 stepeni.</div>^^<p style=""text-align: justify;"">U <strong>utorak</strong>, 2. maja, se očekuje naoblačenje sa zapada koje će prije podne uvjetovati slabu kišu, u zapadnim i sjeverozapadnim područjima. U ostalim djelovima malo do umjereno oblačno i bez padavina. Vjetar u Bosni slab sjevernog smjera, a u Hercegovini slabo jugo. Jutarnja temperatura zraka uglavnom između 2 i 8, na jugu zemlje od 7 do 11, a najviša dnevna između 16 i 22 stepena.</p>^^<p style=""text-align: justify;"">U <strong>srijedu</strong>, 3. maja, u Bosni umjereno oblačno vrijeme. U sjevernim, sjeveroistočnim djelovima područjima uz nešto više oblaka mjestimično sa kišom, a moguć je kratkotrajni pljusak. U Hercegovini i istočnim poručjima malo do umjereno oblačno i sunčano. Jutarnja temperatura zraka uglavnom između 2 i 8, na jugu zemlje od 7 do 11, a najviša dnevna između 18 i 24 stepena.</p>^^<p style=""text-align: justify;"">U <strong>četvrtak</strong>, 4. maja, u Bosni umjereno do pretežno oblačno vrijeme. Prijepodne s kišom u zapadnim i sjeverozapadnim djelovima. Tokom dana, kiša, pljuskovi i grmljavina se očekuju i u ostalim područjima. Jutarnja temperatura zraka uglavnom između 4 i 10, na jugu zemlje od 8 do 12, a najviša dnevna između 16 i 22 stepena, saopćeno je iz Federalnog hidrometeorološkog zavoda (FHMZ) BiH.</p>^^<p style=""text-align: justify;""> </p>^^<p style=""text-align: justify;""><em>(Izvor: Fena)</em></p>"|"Monday, May 1, 2017 - 14:34"
"21"|"(FOTO) Prevrnuo se autobus s navijačima: Tri osobe povrijeđene"|"NOGOMET"|"antalyaspor, fudbaleri, navijači, saobraćajna nesreća"|"/sites/default/files/wp-content/uploads/2017/05/autobus.jpg"|"<p><strong>Najmanje tri osobe su povrijeđene u prevrtanju autobusa s navijačima turskog superligaša Antalyaspora.</strong></p>^^<p> </p>^^<p>Saobraćajna nesreća dogodila se kasno sinoć u povratku navijača Atalyaspora iz Adane kada se<strong> jedan od autobusa prevrnuo u mjestu Guclukoy.</strong></p>^^<p>U nesreći su povrijeđena tri navijača, među kojima su dva maloljetnika koji su sa lakšim povredama hospitalizirani u Manavgatu, dok je<strong> jedan 49-godišnjak ambulantnim helikopterom hitno prebačen u Antaliju.</strong></p>^^<p><img class=""alignnone size-full wp-image-428435"" src=""https://www.cazin.net/wp-content/uploads/2017/05/autobus-1.jpg"" alt="""" width=""741"" height=""486"" /></p>^^<p>Antalyaspor je sinoć slavila gostujuću pobjedu nad Adanasporom rezultatom <strong>5:2,</strong> a iskusni kamerunski golgeter Samuel Eto'o je ostvario het-trik.</p>^^<p><img class=""alignnone size-full wp-image-428436"" src=""https://www.cazin.net/wp-content/uploads/2017/05/autobus-3.jpg"" alt="""" width=""741"" height=""486"" /></p>^^<p>Pobjedničko slavlje pokvarila je vijest o saobraćajnoj nesreći. Predsjednik Udruženja navijača Antalyaspora Yilmaz Yildiz kazao je kako su nepovrijeđeni navijači nakon nesreće u Antaliju stigli drugim autobusima koji su bili u navijačkoj koloni.</p>^^<p> </p>^^<p><em>(Izvor: Anadolija)</em></p>"|"Monday, May 1, 2017 - 14:41"
"22"|"Allaha mi, zabluda ne može cijeli dan izdržati pred Istinom"|"RELIGIJA"|"allah dž š, islam, zablude"|"/sites/default/files/wp-content/uploads/2017/05/al_quran_by_juba_paldf.jpg"|"<p><strong>Nekoliko muslimanskih vojnika došli su halifi Omeru ibn Hattabu, r.a., da ga obavijeste o ishodu jedne od bitaka koju su muslimani vodili u Iraku, pa ih je halifa Omer, r.a., upitao: ”Kada je počela bitka?”</strong></p>^^<p>Odgovorili su: <em>”Bitka je počela rano ujutro.” ”A kada se desila pobjeda”,</em> upitao je Omer, r.a. <em>”Pobjedili smo pred akšam”,</em> odgovorili su izaslanici. Tada je <strong>Omer, r.a.,</strong> zaplakao i toliko je plakao da su mu suze natopile bradu.</p>^^<p>Čudeći se tome, <strong>izaslanici</strong> su mu rekli: <em>”Vođo pravovjernih, mi te obaviještavamo o velikoj muslimanskoj pobjedi, a ti plačeš?!”</em></p>^^<p><strong>Halifa Omer</strong>, r.a., odgovorio im je:<em> ”Allaha mi, zabluda ne može cijeli dan izdržati pred Istinom (pred vojskom istine) osim uz pomoć grijeha koje ste počinili vi ili ja. Mi smo narod (ummet) koji ne pobjeđuje brojem i oružjem, već pobjeđujemo onda kada mi imamo malo grijeha, a naš neprijatelj mnogo. Pa ako se izjednačimo sa neprijateljem u grijesima, onda oni pobjeđuju brojem i oružjem. Stoga, pokajte se Allahu i tražite oprosta za vaše grijehe i pobjeda će vam doći odakle se i ne nadate.”</em></p>^^<p> </p>^^<p><em>(Izvor: Saff.ba)</em></p>"|"Monday, May 1, 2017 - 14:54"
